Text,Label,Kategori
Kehadiran bule yang meresahkan  nakal  ugal-ugalan  dan suka melanggar aturan di Bali akan segera dibabat Bahkan Menko Marves Luhut Binsar Panjaitan ikut berkomentar terkait keberadaan bule nakal ini Dimana Luhut Binsar Panjaitan menyebut Bali tak butuh turis atau bule atau WNA nakal Selengkapnya di BaliPopuler.com,0,non-bullying
BRAGIS ABSURD  SOBABSURD LO SEMUA SOB..PADAHAL LO SI JABATAN TINGGI..LO SAMA SI HARTA KAYA RAYA BARENG SI DUIT ..TAPI LO GAK TAU BOS BESAR LO SIAPE SOB...ABSURD LO SOB MALAH SI  SEL LO JADIIN BOS BESAR PADAHAL KAN ADA PRESIDEN SOB..BENAR BENAR ABSURD LO SENANG BANGET JALAN SAMA BOS LO SI SEL  SEL,1,bullying
Menteri Koordinator Bidang Kemaritiman dan Investasi  Luhut B. Pandjaitan meresmikan PT Free the Sea (Grup PT. WIK)  perusahaan daur ulang sampah plastik untuk digunakan sebagai bahan baku upcycling produksi coffee maker Dengan menggandeng 20 pengepul dan 700 individual collectors  PT. Free the Sea dengan PT. WIK telah mendaur ulang dua puluh juta sampah botol plastik dan menghasilkan satu juta unit coffee maker. PT. Free the Sea juga melakukan pembinaan kepada beberapa sekolah di Batam untuk peningkatan pemahaman mengenai pentingnya pemilahan sampah sejak dari sumber “Upaya ini merupakan komitmen yang sangat luar biasa dimana perusahaan manukfaktur peralatan rumah tangga menggunakan bahan baku dari sampah plastik menjadi material bernilai tinggi. Sampah plastik jika tidak dikelola berpotensi mencemar lingkungan dan menjadi mikroplastik Hal ini akan menjadi masalah besar untuk kita semua. Recycling plant yang dibangun  serta pengintegrasian penggunaan recycled resin dalam satu proses industri adalah contoh konkrit dari penerapan zero waste  circular economy  dan green industry ” pungkas Menko Luhut Selengkapnya baca di keprisatu.com dengan klik link dibio,0,non-bullying
Pemerintah terus menekankan komitmen dalam daur ulang sampah menjadi produk yang lebih bermanfaat. Dalam mendukung komitmen itu  Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut B. Pandjaitan meresmikan PT Free the Sea (Grup PT. WIK) yang merupakan perusahaan yang menggagas fasilitas daur ulang sampah plastik atau limbah rumah tangga menjadi produk bernilai tinggi. Selengkapnya  klik link berikut https://eljohnnews.com/resmikan-fasilitas-daur-ulang-sampah-di-batam-menko-luhut-perlu-kolaborasi-jaga-lingkungan/,0,non-bullying
Tesla mengumumkan rencana investasi di Indonesia lewat gelaran Master Plan pada 1 Maret 2023. Meski sebelumnya telah ada pembicaraan terkait hal tersebut  nama Indonesia ternyata absen dari daftar.   Tesla justru membuka pabrik atau gigafactory-nya di Meksiko dan kantor di Malaysia. Padahal  Elon Musk selaku CEO Tesla telah berdiskusi Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan Namun Luhut meyakini Tesla masih berniat membangun pabrik di ASEAN atau kawasan Asia Tenggara. Pembangunan pabrik di Meksiko tidak menutup peluang untuk negara lain “Meksiko itu halaman belakang Amerika. Tentu mereka bangun pabrik di sana ” ucap Luhut dikutip dari Antara pada Rabu (8/3) Elon juga mengatakan  dia masih memiliki rencana untuk membangun pabrik dengan kapasitas 1 juta unit per tahun. Lokasinya adalah di kawasan ASEAN “Apakah itu ke Indonesia  ya kita lihat saja beberapa hari ke depan ” ucap Luhut,0,non-bullying
Horas  Generasi muda mudi Tuandibangarna kota Medan  Berdiri sudah 3 tahun  Mohon dukungan dan doanya saudara saudari untuk kemajuan generasi muda ini,0,non-bullying
AlurNews.com – PT Free The Sea anak perusahaan PT W.I.K yang bergerak di bidang daur ulang sampah botol plastik sebagai bahan baku pembuatan mesin kopi  resmi memulai operasionalnya di Kawasan Industri Panbil  Mukakuning  Batam  Kepulauan Riau Dalam peluncurannya  Head of Free The Sea  Bahri Beyhan menuturkan program daur ulang bagi mesin kopi berbahan baku sampah plastik  mendukung kelestarian lingkungan di Kota Batam dilihat dari proses pembuatannya SELENGKAPNYA Klik Link di Bio/Story   AlurNews  Selalu Ada Untuk Pembaca !,0,non-bullying
Ketika berencana untuk membeli atau membangun rumah  penting bagimu untuk memerhatikan lokasi di sekitarnya.   Sebab  lokasi di sekitar rumah akan memengaruhi kenyamanan maupun kesehatan masing-masing penghuni rumah.   Jadi  kamu perlu mengetahui lokasi-lokasi yang perlu dihindari ketika ingin membeli atau membangun rumah Di @zivanagraha tersedia banyak pilihan hunian dengan lokasi yang strategis dan tentunya aman dan nyaman.   Informasi & Survey Lokasi : https://wa.me//6281229059933 Jl. Sersan Sadikin No.91  Gergunung  Klaten Utara,0,non-bullying
"Tesla  Inc. bakal membuka kantor perwakilan dan showroom di Malaysia. Di sisi lain  Indonesia sudah cukup lama melakukan pendekatan ke perusahaan milik Elon Musk itu  namun tak kunjung terealisasi. Bagaimana respons Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan?  Menurut Luhut  hal itu sah-sah saja. ""Kan kantor di mana aja boleh dibangun "" kata Luhut dikutip dikutip dari CNBC Indonesia Saat ditanya apakah Tesla jadi berinvestasi di Indonesia  Luhut masih optimistis ""Kita masih tetaplah  masa enggak "" tegasnya. Ya nanti tunggulah. Kalau nanti Senin diumumkan mengenai atau minggu depan diumumkan mengenai insentif EV (kendaraan listrik)  nanti baru saya ngomong "" ujarnya lagi Baca berita @netralnewsdotcom selengkapnya di BuddyKu  𝘽𝙪𝙙𝙙𝙞𝙚𝙨 𝙢𝙖𝙪 𝙙𝙖𝙥𝙚𝙩𝙞𝙣 𝙞𝙣𝙛𝙤 𝙩𝙚𝙧𝙠𝙞𝙣𝙞 𝙮𝙖𝙣𝙜 𝙥𝙖𝙨𝙩𝙞𝙣𝙮𝙖 𝙣𝙤 𝙝𝙤𝙖𝙭? 𝙔𝙪𝙠 𝙙𝙤𝙬𝙣𝙡𝙤𝙖𝙙 𝘽𝙪𝙙𝙙𝙮𝙆𝙪 𝙙𝙞 𝙥𝙡𝙖𝙮𝙨𝙩𝙤𝙧𝙚/𝙖𝙥𝙥𝙨𝙩𝙤𝙧𝙚 𝙠𝙖𝙡𝙞𝙖𝙣 𝙖𝙩𝙖𝙪 𝙠𝙡𝙞𝙠 𝙡𝙞𝙣𝙠 𝙙𝙞 𝙗𝙞𝙤 𝙮𝙖!",0,non-bullying
BRAGIS  TERSENYUMLAH BUAT SEMUA SOBAT BRAGIS,0,non-bullying
Kebijakan lanjutan terkait aspek keamanan objek vital nasional pascakebakaran Depo Pertamina Plumpang memecah suara pemerintahan Jokowi.   Apa yang disampaikan oleh Menteri BUMN Erick Thohir berseberangan telak dengan yang diutarakan oleh Menteri Koordinator Bidang Maritim dan Investasi Luhut Binsar Pandjaitan. Dia menegaskan warga yang tinggal di sekitar depo Pertamina Plumpang lah harus dipindah  bukan sebaliknya Klik link di bio untuk update informasi seputar kebakaran ‘Depo pertamina plumpang’,0,non-bullying
Untuk Yang Ke sekian kali diberikan kesempatan untuk bertemu dan membahas berbagai program yang akan terlaksana di Kabupaten Biak Numfor. Salah satu Agenda yang Penting adalah Membuka Kembali apabila Akses Bandara Internasional  dan Juga Pelaksanaan Sail Teluk Cenderawasih dan Beberapa Agenda lain yang sangat penting.  Kami ucapkan terimakasih kasih yang sebesar-besarnya kepada  Bapak Luhut Binsar Pandjaitan Menteri Koordinator Bidang Kemaritiman dan Investasi Indonesia Yang selalu memberikan kami anak anak Papua kesempatan dan selalu mendukung dan ini adalah pergumulan kami.,0,non-bullying
"Pernyataan Luhut soal Warga Plumpang Harus Pindah Dinilai Sangat Arogan  Anggota Komisi VII DPR RI  Mulyanto  menilai  koordinasi pemerintah terkait penanganan korban ledakan Depo BBM Pertamina Plumpang  Jakarta Utara  acak-acakan.   Hal tersebut dikatakan Mulyanto untuk menanggapi pernyataan Menko Marves Luhut Binsar Pandjaitan yang akan memindahkan pemukiman masyarakat di sekitar depo.   Beberapa waktu sebelumnya  Wakil Presiden Ma'ruf Amin didampingi Menteri BUMN Erick Thohir  malah mengatakan akan memindahkan Depo BBM Pertamina ke lahan milik Pelindo. Perbedaan sikap ini  menurut Mulyanto  akan menimbulkan kebingungan di tengah masyarakat yang menjadi korban.   ""Pemerintah jangan simpang-siur dan berbeda-beda dalam bersikap dan mengambil kebijakan terkait penanganan kebakaran Depo BBM Pertamina di Plumpang  Jakarta Utara. Harusnya ditentukan dulu sikap resmi pemerintah terhadap para korban sebelum menyampaikan kepada masyarakat. Jangan seperti sekarang dimana pernyataan wapres dan Menko Marves bertolak belakang "" ujar Mulyanto kepada wartawan  Rabu (8/3/2023) Lengkapnya baca https://rilis.id/Nasional/Berita/Pernyataan-Luhut-soal-Warga-Plumpang-Harus-Pindah-Dinilai-Sangat-Arogan-VNHxAzx  Atau klik tautan di instastori @rilisid  Cek berita terkini kunjungi www.rilis.id  Download juga aplikasi rilis.id di play store",0,non-bullying
"Bupati Bangli Sang Nyoman Sedana Arta melakukan audiensi dengan Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan di ruang kerjanya di Jakarta  dalam upaya mengembangkan kawasan wisata Kintamani  Danau Batur dan wilayah sekitarnya ""Saat bertemu Menko Luhut  kami menyampaikan usulan program pengembangan Kintamani  Danau Batur  dan sekitarnya. Sementara di sisi lain tahun 2024 Danau Batur direncanakan sebagai salah satu locus pelaksanaan Word Water Forum (WWF) "" kata Bupati Sedana Arta  dalam siaran persnya  di Bangli  Selasa Ia menyampaikan beberapa usulan pengembangan Kintamani  Danau Batur  dan sekitarnya  di antaranya mengenai pembangunan museum air dan sarana/prasarana pendukungnya  pengerukan sedimentasi dan penataan KJA model floating  penataan sempadan Danau Batur  penataan Desa Bali Kuno Trunyan  pelebaran ruas jalan Penelokan menuju Danau Batur  pembangunan The President Tower  pembangunan pabrik pengolahan pupuk organik  pembangunan TPST 3 R  dan pembangunan Instalasi pengolahan air minum Foto: ANTARA/HO-Humas Bangli @humas_bangli @diskominfosanbangli   Selengkapnya: https://bali.antaranews.com/berita/310146/bupati-bangli-temui-menko-luhut-demi-majukan-wisata-kintamani",0,non-bullying
Pemerintah telah resmi mengumumkan subsidi atau insentif motor listrik sebesar Rp7 juta untuk 200 ribu motor baru dan 50 ribu motor konversi. Bila ditotal  pemerintah merogoh kocek hingga Rp 1 75 triliun Menko Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan menyatakan subsidi tersebut akan berlaku mulai 20 Maret 2023 Baca kelanjutannya di: 👉https://channel9.id/ 👉https://linktr.ee/channel9.id/,0,non-bullying
"Menteri Koordinator Bidang Kemaritiman dan Investasi (Menkomarves) Luhut Binsar Pandjaitan  mengkritik pihak yang memberi izin tinggal kepada warga di kawasan sekitar Depo Pertamina  Plumpang  Jakarta Utara Hal tersebut dikatakan Luhut menanggapi peristiwa terbakarnya Depo Pertamina Plumpang yang memakan korban belasan warga Tanah Merah ""Yang memberikan izin itu saya kira tidak benar. Karena itu tanggung jawab lah sudah ada berapa nyawa hilang "" kata Luhut di Jakarta Utara pada Senin (6/3/2023) kemarin Selengkapnya klik link di bio",0,non-bullying
Kementrian Koordinator Maritim dan Investasi (Kemenko Marves) telah membeli 7 unit kendaraan listrik ramah lingkungan berteknologi Battery EV  yaitu Toyota bZ4X Hal ini dilakukan sebagai tindak lanjut dari KTT G20 yang diadakan pada November 2022 lalu. Proses pembelian 7 unit Toyota bz4x tersebut dilakukan melalui program usership KINTO untuk mendukung mobilitas operasionalnya  Selengkapnya >>>,0,non-bullying
kalo gue sih iyes🤭😂,0,non-bullying
Presiden Joko Widodo (Jokowi) memerintahkan jajarannya untuk segera mencari solusi atas insiden kebakaran Depo Pertamina Plumpang  Koja  Jakarta  Utara pada Jumat (3/3). Akibat insiden itu  18 orang meninggal dunia. Jokowi menilai  ada dua opsi dalam solusi tersebut. Apakah Depo Plumpang yang harus dipindah  atau warga Tanah Merah yang tinggal bersebelahan dengan Depo yang direlokasi.  .  Namun  malah terjadi beda pandangan antara Erick Thohir dan Luhut B Panjaitan.  .  Menurut kalian lebih baik mana  debo yang pindah atau justru warganya yg direlokasi?,0,non-bullying
DAGELAN TANAH MERAH  @bantengijo.777,0,non-bullying
Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan mengaku tengah melakukan negosiasi final dengan Tesla dan BYD Tesla dan BYD sendiri merupakan produsen mobil listrik terkemuka di dunia  yang berasal dari Amerika Serikat dan China Luhut menjelaskan bahwa dirinya akan terus melanjutkan negosiasi dengan produsen kendaraan listrik dunia setelah mengumumkan bantuan insentif kendaraan listrik Baca berita selengkapnya dengan klik link di bio 𝘽𝙪𝙙𝙙𝙞𝙚𝙨 𝙢𝙖𝙪 𝙙𝙖𝙥𝙚𝙩𝙞𝙣 𝙞𝙣𝙛𝙤 𝙩𝙚𝙧𝙠𝙞𝙣𝙞 𝙮𝙖𝙣𝙜 𝙥𝙖𝙨𝙩𝙞𝙣𝙮𝙖 𝙣𝙤 𝙝𝙤𝙖𝙭? 𝙔𝙪𝙠 𝙙𝙤𝙬𝙣𝙡𝙤𝙖𝙙 𝘽𝙪𝙙𝙙𝙮𝙆𝙪 𝙙𝙞 𝙥𝙡𝙖𝙮𝙨𝙩𝙤𝙧𝙚/𝙖𝙥𝙥𝙨𝙩𝙤𝙧𝙚 𝙠𝙖𝙡𝙞𝙖𝙣 𝙖𝙩𝙖𝙪 𝙠𝙡𝙞𝙠 𝙡𝙞𝙣𝙠 𝙙𝙞 𝙗𝙞𝙤 𝙮𝙖!     buddyku,0,non-bullying
- Menko Marves Luhut Binsar Pandjaitan menegaskan bahwa ia tidak setuju bila Depo Pertamina Plumpang sampai harus di relokasi Menurutnya  yang harusnya di lakukan relokasi itu hanya masyarakat yang tinggal di sekitar Depo Plumpang tersebut. Sebab  Depo Plumpang seharusnya menjadi wilayah Zona penyangga atau buffer zone Baca Selengkapnya di Kabardpr.com,0,non-bullying
Dagelan Tanah Merah,0,non-bullying
Indonesia terpilih menjadi tuan rumah forum air dunia tahun 2023  diharapkan Indonesia mampu menjadi Negara percontohan serta mampu memberikan solusi dari permasalahan Negara yang mengalami krisis air.  - - - -,0,non-bullying
Hari ini saya berangkat memenuhi undangan Forum Group Discussion Pemerintah Kabupaten Tapanuli Utara dengan @nusantaraone1 di Kota Tarutung yang dikenal merupakan salah satu lumbung pertanian dari beberapa kabupaten yang berada di sekitar Danau Toba Pada kesempatan yang baik ini Dinas Pariwisata Kabupaten Tapanuli Utara mengundang saya untuk meninjau lokasi potensi pariwisata di wilayah Tapanuli Utara dan  menyaksikan penyelenggaraan  kompetisi International F1 Power Boat pertama di Indonesia yang akan diselenggarakan di Kawasan Balige  Danau Toba Tak sabar untuk menyaksikan keindahan Panorama Danau Toba dengan acara tingkat dunia Saya yakin acara ini dapat terus mendorong pertumbuhan sektor pariwisata di Danau Toba  See You in Lake Toba Guys for @kopiko.id @kopikoluckyday_id F1 Powerboat Competition   Congratulations Ompung @luhut.pandjaitan and Team 🙏👍  Horas!👍🇮🇩                    #,0,non-bullying
Saya titip kepada Anda sebagai generasi penerus kami  jangan tiru generasi saya yang banyak aneh dan bohong itu  jangan. Apapun suku dan agamamu  katakan benar kalau benar  katakan salah kalau salah. Itu saja pesan saya  supaya negeri ini bagus. Selamat berjuang========================== Follow: Instagram: @narasi.pikiran Twitter: narasipikiran Tiktok: narasipikiran Youtube: Narasi Pikiran ==========================   channel,0,non-bullying
Alhamdulillah bisa ketemu langsung dengan pak @luhut.pandjaitan bersama hipmikementara dalam acara gerakan nasional bangga buatan Indonesia banten 2023 semoga bisa mengangkat umkm dan berkah buat semua,0,non-bullying
Dari Luhut sampe Prabowo  ternyata banyak juga politisi dan pejabat yang jadi ketua organisasi olahraga. Kira-kira kenapa ya? 🤔,0,non-bullying
Dalam rangka upaya mewujudkan ekosistem bagi kendaraan ramah lingkungan di Indonesia  Menko Marves  Luhut Binsar Pandjaitan mengatakan  pembangunan Stasiun Pengisian Kendaraan Listrik Umum (SPKLU) terus dilakukan  Jumat (10/2/23) --- Baca selengkapnya di read.id,0,non-bullying
PT Bank Pembangunan Daerah Banten Tbk (BEKS/Bank Banten) terus mendorong penguatan UMKM di Provinsi Banten dengan berpartisipasi dalam acara Gerakan Nasional (Gernas) Bangga Buatan Indonesia (BBI) Banten Tahun 2023 yang digelar pada Jumat (10/2/2023) di Kawasan Pusat Pemerintahan Provinsi Banten (KP3B)  Serang  Banten Pada acara tersebut  Bank Banten bertindak sebagai Top Brands kategori Perbankan yang tentunya mendukung penuh penguatan UMKM melalui akselerasi transformasi digital Berita lengkap:  https://impresinews.com/dukung-gernas-bbi-bank-banten-dukung-penguatan-umkm-di-tanah-jawara/,0,non-bullying
Nah  ini dia penyebab utama pencemaran udara di JakartaBisa di lihat dari data berikut bahwa sepeda motor lah yang merupakan penyumbang emisi terbesar dalam pencemaran udara dengan hasilan karbon monoksida (CO) yang sangat tinggi  gas racun yang sangat mematikanSementara HC bikin iritasi mata selain carcinogenic  NOx racun bagi paru-paru sehingga bisa mengakibatkan kematian sebagaimana CO dan PM  terutama bagi penderita asmaPM10 dan PM2.5  sekalipun proporsi pada beban emisi relatif kecil  namun tidak mudah diurai di atmosfer sehingga akan terakumulasi dan semakin pekat konsentrasinya hingga hujan dan angin membilasnyaPM10 menyebabkan penyakit pernafasan seperti asma dan PPOK  sementara PM2.5 yang besarnya sepertigapuluh diameter rambut  dapat menembus alveolus di paru-paru sehingga memicu pneumonia dan jantung koronerSO2 menyebabkan iritasi saluran pernafasan  penurunan fungsi paru dan carcinogenicKalo motor kamu gimana  sudah bebas emisi belum nih? Tulis dikomentar ya  mimin mau tau deh 🥰,0,non-bullying
Warning! Luhut Binsar Panjaitan akan bentuk Satgas Khusus dalam memberantas tambang ilegal. Yucckkk cari tahu di,0,non-bullying
Siapa yang tinggal di Jakarta?Dikonten sebelumnya sudah ada informasi data seberapa besarnya peranan masing masing jenis transportasi terhadap beban emisi di IndonesiaHari ini  kita lihat yuk kalo dalam lingkup daerah yang lebih spesifik datanya seperti apa nih?Berdasarkan data yang ada bisa kita sama sama lihat bahwa peranan transportasi adalah penyumbang emisi terbesar di JABODETABEK baik itu PM10 dan juga PM2 5Bahkan menurut hasil pengamatan Bank Dunia  biaya pencemaran udara di Jakarta pada 1989 mencapai USD 220 juta  dimana menurut Laporan KLH angka ini naik menjadi 38 5 T pada 2010. Sementara up date dari Riset KPBB menujukkan kenaikan mencapai Rp 51 2 T pada 2016Diprediksi defisitnya BPJS Kesehatan karena faktor sakit/penyakit yang diderita masyarakat akibat pencemaran udaraIsu pencemaran udara harus menjadi prioritas utama komitmen pemerintah  mengingat dampaknya terhadap kesehatan masyarakat yang valuasi ekonominya melebihi pertumbuhan ekonomi nasional,0,non-bullying
sosok bapak ganjar  mampu untuk melanjutkan pembangunan di negeri ini  dan sosok beliau sangat rendah hati  dekat dengan masyarakat,0,non-bullying
Pemprov Banten gelar acara peluncuran gerakan nasional bangga buatan indonesia di kawasan pusat pemerintahan provinsi Banten  Jumat (10/02)  Jendral TNI (Purn) Luhut Bisar Panjaitan  Mentri koordinator bidang kemaritiman dan investasi yang hadir ditengah-tengah acara tersebut mengapresiasi atas segala kenaikan progresivitas di Banten Berita lengkap:  https://impresinews.com/luhut-apresiasi-perkembangan-provinsi-banten/,0,non-bullying
"Mendapatkan Undangan dari Gubernur untuk dapat turut memeriahkan dan mensukseskan ""Kick Off Gerakan Bangga Buatan Indonesia"" DPD HIPDI Banten siap mendukung Program pemerintah tersebutplt.Ketua DPD HIPDI Banten @hipdi_banten Bpk.Febriansyah @febriansyah_twin hadir dalam undangan tersebut untuk dapat membuktikan bahwa Hipdi siap berperan disegala lini di era 5.0 ini dan siap mendukung program yang berkaitan dengan Ekonomi Kreatif",0,non-bullying
Gelora Delta Sidoarjo  Peringatan 1 Abad Nahdlatul Ulama,0,non-bullying
Stay  with genius friends and u will become one  Kongowea champ,0,non-bullying
@jokowi,0,non-bullying
Prabowo Subianto (paling kiri) dan Luhut Binsar Panjaitan (ketiga dari kanan) saat dikirim ke Jerman Barat untuk mengikuti pendidikan di Grenzschutzgruppe 9 (GSG-9) pada tahun 1981 *** Sumber: SinPo.id  ***,0,non-bullying
"Menko Bidang Kemaritiman dan Investasi  Luhut Binsar Pandjaitan  mengakui tidak mudah dalam mengatur negara. Untuk itu  ia meminta masyarakat tidak berburuk sangka ke pemerintah dan jangan asal mengkritik apabila belum bisa berkontribusi ke negara ""Kalau belum pernah menjabat jangan asal ngomong  tidak gampang mengatur republik ini "" kata Luhut saat launching Sail Teluk Cendrawasih  Jumat (3/2) Dalam kesempatan ini  Luhut juga mengingatkan para pejabat untuk tidak pernah sombong. Apalagi semua terjadi sementara dan ada akhir batas waktunya ""Ini semua temporary  semua di bawah langit ini ada waktunya. Saya ingatkan semua pejabat jangan sombong  semua ini hanya waktu saja  akan ada akhirnya "" ujar Luhut Luhut juga menegaskan para pejabat harus kerja dengan rendah hati demi kepentingan rakyat Indonesia. Ia menekankan lebih baik berkontribusi dengan konkret daripada kritik yang tak perlu ""Presiden (Jokowi) beri kesempatan membuat Indonesia bagus. Ayo kita kerjain  kita harus kompak  jangan cepat terus buruk sangka saja "" ungkap Luhut 🗂 Sumber: kumparan.com  📈  ⏬ ⏬ ⏬ 🙏 Yuk Support Kami dengan  LIKE❤  COMMENT💬 & SHARE📣 ke Teman Kamu ya Guys 😊  ⏩ Follow @MedanTrending Untuk Info Berita Trending📈  Viral📣 & Kekinian📺 Seputar Kota Medan  Nasional & Internasional ➖➖➖",0,non-bullying
"Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Panjaitan  berharap melalui ajang F1 Powerboat Danau Toba 2023  semua elemen terkait dapat bersatu dan kompak guna menunjukkan kepada mata dunia bahwa Indonesia bisa dan hebat ""Ajang ini adalah perhelatan yang hebat. Kita harus promosikan ini dengan baik  kita semua harus kompak. Jangan pernah ragu mendukung sesuatu untuk Indonesia. Saya minta kita satu padu insya Allah kita hebat "" kata Menko Marves Luhut Binsar saat press conference Official Partners F1Powerboat Danau Toba Signing Ceremony  di Kantor Kemenko Marves Jakarta  Kamis (2/2) Seperti diketahui  ajang F1 Powerboat dilaksanakan pada 24-26 Februari 2023. F1 Powerboat atau yang juga dikenal dengan F1H20 adalah kejuaraan dunia lomba balap kapal motor terbesar dunia. F1 Powerboat merupakan kelas tertinggi balap kapal motor  yang setingkat dengan Formula 1 atau Moto GP. Luhut juga menilai venue di Danau Toba sangat indah. Selain itu  ajang F1H2O memiliki keuntungan yang banyak bagi Danau Toba dan Indonesia",0,non-bullying
Luhut Ditegur 3 Kali oleh Jokowi karena F1 Powerboat Danau Toba 2023  Menteri Koordinator Bidang Maritim dan Investasi (Menko Marves) Luhut Binsar Pandjaitan (@luhut.pandjaitan) bercerita sempat ditegur Presiden Jokowi (@jokowi) karena F1 Powerboat World Championship (F1 H2O) Acara bernama lain Kejuaraan Dunia Perahu Motor Formula 1 itu akan digelar di Danau Toba  Sumatra Utara pada 24-26 Februari 2023 mendatang Alasan Presiden Jokowi menegur Luhut karena menilai promosi acara F1 H20 tersebut tidak semeriah saat digelarnya MotoGP Mandalika 2022  di mana Indonesia juga ditunjuk sebagai tuan rumah “Presiden kemarin malah menegur saya tiga kali. ‘Pak Luhut mana? Kurang itu promosinya (F1 Powerboat). Lebih bagus di Mandalika’ ” kata Luhut menirukan Jokowi dalam konferensi pers persiapan F1 Powerboat pada Kamis (2/2) Lebih lanjut  Luhut memperkirakan penonton F1 Powerboat akan mencapai 25 ribu orang  menjadi kali pertama terjadi di Danau Toba.   “Kemarin saya dari sana. Persiapan dermaga sudah hampir selesai. Karena menurut saya  venue-nya sangat cantik ” sambung Luhut Lewat F1 Powerboat di Danau Toba ini  ditargetkan akan menciptakan dampak ekonomi bagi Indonesia hingga Rp 250 miliar 📷 merdeka.com,0,non-bullying
Ekonom Universitas Indonesia (UI) Faisal Basri meminta Presiden Joko Widodo atau Jokowi untuk pecat Menteri Koordinator Bidang Kemaritiman dan Investasi (Menkomarves) Luhut Binsar Pandjaitan dan Kepala Staf Kepresidenan (KSP) Moeldoko Hal itu disampaikan Faisal saat menjadi pembicara pada peluncuran Corruption Perception Index (CPI) atau Indeks Persepsi Korupsi yang digelar Transparency International Indonesia (TII) di Jakarta Pusat  Selasa (31/1/2023). Faisal Basri awalnya memaparkan ciri-ciri negara yang korup  salah satunya memotong pajak Dia menyebut salah satu kebijakan pemerintah pada 2018 lalu yang membebaskan PPh (Pajak Penghasilan) Badan 20 tahun bagi investor yang berinvestasi lebih dari Rp 30 triliun “Nilep pajak atau dibebaskan untuk membayar pajak. Itu kan dibebas pajak 20 tahun ” ujarnya Dia kemudian menyeret nama Luhut yang disebutnya memiliki industri sepeda motor “Kemudian mobil nanti pajaknya diturunkan  karena Pak Luhut sendiri itu  dia punya industri sepeda motor listrik. Dia siapkan keringanan untuk industri dia ” sebutnya Lihat selengkapnya di Indoissue.com,0,non-bullying
Ada kabar gembira nih buat detikers yang ingin membeli kendaraan listrik!⁣ ⁣ Pemerintah secara resmi mengumumkan penerapan kebijakan insentif atau subsidi untuk kendaraan bermotor listrik berbasis baterai (KBLBB). Insentif ini akan berlaku pada 20 Maret mendatang.⁣ ⁣ Menko Kemaritiman dan Investasi Luhut Binsar Pandjaitan menegaskan subsidi untuk kendaraan listrik diberikan sebenarnya sejalan dengan Peraturan Presiden Nomor 55 Tahun 2019 tentang Percepatan Program Kendaraan Bermotor Listrik Berbasis Baterai. Sebab sejak aturan itu keluar penjualan KBLBB belum optimal.⁣ ⁣,0,non-bullying
Pembangunan IKN Untungkan Pengusaha atau Rakyat Jelata?,1,bullying
Wali Kota dr. Susanti Dewayani  Sp.A hadiri acara Launching Pemberian Penghargaan Pengendalian Pandemi COVID-19 (PPKM Award) secara virtual dari Ruang Rapat Bappeda Pematang Siantar  Rabu (22/2/2023).   Acara ini juga diikuti oleh Pemerintah Daerah Provinsi  Kabupaten/Kota se-Indonesia Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut B. Pandjaitan saat membuka acara mengatakan bahwa perjalanan panjang kita melalui Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) sudah mencapai akhir “Indonesia telah mampu mengendalikan pandemi melalui kolaborasi dan gotong royong seluruh elemen masyarakat ” kata Luhut Luhut menjelaskan penghargaan pengendalian pandemi ini merupakan wujud apresiasi dari Pemerintah Pusat kepada Pemerintah Daerah  Fasyankes  Satuan TNI  dan POLRI di daerah Baca selengkapnya di www.utamanews.com        ------ Selain di sini  rilis berita dapat dikirimkan ke WA 081372841936 atau email : utamanews@gmail.com Follow juga medsos kami di :  IG: utamanews FB: utamanews Halaman FB: utamanews dot com Twitter: utamanewscom Tiktok : utamanews,0,non-bullying
